2021-11-13 23:40:57+00:00,b'@heydave7 @WholeMarsBlog A careful observer would note that my (low basis) share sale rate significantly exceeds my\xe2\x80\xa6 https://t.co/dDXAA08nYL'
2021-11-13 20:19:23+00:00,b'@JonErlichman How about predictions for 2030?'
2021-11-13 18:29:57+00:00,b'@rookisaacman Super proud of the great work by the SpaceX team!'
2021-11-13 18:22:08+00:00,"b'@ICannot_Enough Please don\xe2\x80\x99t read too much into this. As mentioned publicly, Tesla is constrained by chip supply sh\xe2\x80\xa6 https://t.co/CqIQCTdMFm'"
2021-11-13 18:19:05+00:00,b'@GailAlfarATX @JohnnaCrider1 @WholeMarsBlog @TeslaOwnersEBay @RationalEtienne @EvaFoxU @Boxabl I\xe2\x80\x99ve actually been l\xe2\x80\xa6 https://t.co/sUVUz69WJQ'
2021-11-13 18:08:23+00:00,"b'@jordanski20 @slashdot Megapacks are deployed to stabilize the grid itself, especially effective for absorbing peak\xe2\x80\xa6 https://t.co/cLttSyb5o5'"
2021-11-13 18:00:00+00:00,b'@SpaceXMR Such a beautiful day to launch'
2021-11-13 17:58:05+00:00,b'@_rykllan @SpaceX @NASASpaceflight @FelixSchlang @MarcusHouse @bluemoondance74 The rocket fleet grows'
2021-11-13 17:56:44+00:00,b'@Rainmaker1973 Best plane ever'
2021-11-13 17:55:44+00:00,b'@slashdot Tesla Megapack batteries will help stabilize the grid this winter'
2021-11-13 16:47:09+00:00,b'129 Orbital Flights https://t.co/BjG4lNnFyJ'
2021-11-13 12:38:02+00:00,b'@SpaceIntellige3 @SpaceX @SpaceXStarlink @nkknspace @HomemDoEspacoBr @InfographicTony @cnunezimages @spacex360 Shou\xe2\x80\xa6 https://t.co/gctPei1jhC'
2021-11-13 12:16:07+00:00,b'RT @SpaceX: Watch Falcon 9 launch 53 Starlink satellites to orbit \xe2\x86\x92 https://t.co/bJFjLCzWdK  https://t.co/dgHuF6SIZ4'
2021-11-13 12:15:14+00:00,b'@SpaceIntellige3 @SpaceX @SpaceXStarlink @nkknspace @HomemDoEspacoBr @InfographicTony @cnunezimages @spacex360 Inte\xe2\x80\xa6 https://t.co/M9PbMRWwAO'
2021-11-13 11:25:11+00:00,b'@PPathole @teslaownersSV @SamTwits Exactly'
2021-11-13 11:17:44+00:00,b'RT @SpaceX: First 6-engine static fire test of Starship https://t.co/Bq3uryxEnl'
2021-11-13 11:16:58+00:00,b'https://t.co/KpPfSNuaaF'
2021-11-13 10:30:24+00:00,b'@Erdayastronaut It is a very impressive history'
2021-11-13 01:15:41+00:00,b'@teslaownersSV @SamTwits Once the board was presented with the evidence of Eberhard\xe2\x80\x99s deception/fraud &amp; the dire st\xe2\x80\xa6 https://t.co/aOMmc1bByA'
2021-11-13 01:10:26+00:00,b'@teslaownersSV @SamTwits Thinking of doing a podcast \xe2\x80\x9cHardcore History\xe2\x80\x9d style that tells what really happened at Tesla in those early years'
2021-11-13 01:08:26+00:00,"b'@teslaownersSV @SamTwits He came damn close to killing Tesla through a combination of bad management decisions, dri\xe2\x80\xa6 https://t.co/6OL1Mj6E8P'"
2021-11-13 00:56:41+00:00,b'@SamTwits Founding story of Tesla as portrayed by Eberhard is patently false. I wish I had never met him.\n\nEberhard\xe2\x80\xa6 https://t.co/57vNtpKp3g'
2021-11-12 18:17:32+00:00,b'@NASASpaceflight Good static fire with all six engines!'
