,time_period_start,time_period_end,time_open,time_close,rate_open,rate_high,rate_low,rate_close,Year,Month,Day,Hour
56,2016-01-10T08:00:00.0000000Z,2016-01-10T12:00:00.0000000Z,2016-01-10T08:00:00.0000000Z,2016-01-10T11:59:00.0000000Z,448.05,448.05,442.3225855822364,443.2795021239448,2016,1,10,8
57,2016-01-10T12:00:00.0000000Z,2016-01-10T16:00:00.0000000Z,2016-01-10T12:00:00.0000000Z,2016-01-10T15:59:00.0000000Z,443.18154172914575,444.545095618568,442.0218020514809,444.1124584836699,2016,1,10,12
58,2016-01-10T16:00:00.0000000Z,2016-01-10T20:00:00.0000000Z,2016-01-10T16:00:00.0000000Z,2016-01-10T19:59:00.0000000Z,444.4816581746858,448.6056457256017,443.9975907104997,446.3256242639972,2016,1,10,16
59,2016-01-10T20:00:00.0000000Z,2016-01-11T00:00:00.0000000Z,2016-01-10T20:00:00.0000000Z,2016-01-10T23:59:00.0000000Z,446.0275204802674,449.1793118100893,445.4894851375878,449.1793118100893,2016,1,10,20
60,2016-01-11T00:00:00.0000000Z,2016-01-11T04:00:00.0000000Z,2016-01-11T00:25:00.0000000Z,2016-01-11T03:59:00.0000000Z,449.4442844527538,452.0101,449.2476523638591,451.1991830238688,2016,1,11,0
61,2016-01-11T04:00:00.0000000Z,2016-01-11T08:00:00.0000000Z,2016-01-11T04:13:00.0000000Z,2016-01-11T07:59:00.0000000Z,451.1749483538736,451.55719339178825,442.1791956174127,445.1601109611785,2016,1,11,4
62,2016-01-11T08:00:00.0000000Z,2016-01-11T12:00:00.0000000Z,2016-01-11T08:12:00.0000000Z,2016-01-11T11:59:00.0000000Z,445.33489153867134,446.71,443.2165334797425,445.58767883406034,2016,1,11,8
63,2016-01-11T12:00:00.0000000Z,2016-01-11T16:00:00.0000000Z,2016-01-11T12:10:00.0000000Z,2016-01-11T15:59:00.0000000Z,445.7016555418765,447.06111082204217,444.64009327898464,446.27368609199823,2016,1,11,12
64,2016-01-11T16:00:00.0000000Z,2016-01-11T20:00:00.0000000Z,2016-01-11T16:14:00.0000000Z,2016-01-11T19:59:00.0000000Z,446.5148340752713,448.78914292946587,445.8021116103033,447.8100112622825,2016,1,11,16
65,2016-01-11T20:00:00.0000000Z,2016-01-12T00:00:00.0000000Z,2016-01-11T20:05:00.0000000Z,2016-01-11T23:59:00.0000000Z,447.7711615311831,450.0,447.2874522814246,448.5258707507874,2016,1,11,20
66,2016-01-12T00:00:00.0000000Z,2016-01-12T04:00:00.0000000Z,2016-01-12T00:14:00.0000000Z,2016-01-12T03:59:00.0000000Z,449.2101,449.2101,445.10665045402914,447.34674713554944,2016,1,12,0
67,2016-01-12T04:00:00.0000000Z,2016-01-12T08:00:00.0000000Z,2016-01-12T04:13:00.0000000Z,2016-01-12T07:59:00.0000000Z,447.2976650156877,451.06794,444.7595040464792,445.5544616770775,2016,1,12,4
68,2016-01-12T08:00:00.0000000Z,2016-01-12T12:00:00.0000000Z,2016-01-12T08:14:00.0000000Z,2016-01-12T11:59:00.0000000Z,446.7461202059008,449.33,444.9521613635711,445.8285686055178,2016,1,12,8
69,2016-01-12T12:00:00.0000000Z,2016-01-12T16:00:00.0000000Z,2016-01-12T12:05:00.0000000Z,2016-01-12T15:59:00.0000000Z,445.7887514330799,450.3,445.40327257887793,446.0912486544013,2016,1,12,12
70,2016-01-12T16:00:00.0000000Z,2016-01-12T20:00:00.0000000Z,2016-01-12T16:14:00.0000000Z,2016-01-12T19:59:00.0000000Z,446.4163589401058,450.39999,445.8919993321186,446.84,2016,1,12,16
71,2016-01-12T20:00:00.0000000Z,2016-01-13T00:00:00.0000000Z,2016-01-12T20:14:00.0000000Z,2016-01-12T23:59:00.0000000Z,447.3325284674554,449.00011,434.4067456493702,434.568884663858,2016,1,12,20
72,2016-01-13T00:00:00.0000000Z,2016-01-13T04:00:00.0000000Z,2016-01-13T00:01:00.0000000Z,2016-01-13T03:59:00.0000000Z,433.1950013002879,437.0041202304759,426.04374694555605,433.12078177479225,2016,1,13,0
