time_period_start,time_period_end,time_open,time_close,rate_open,rate_high,rate_low,rate_close
2021-04-12T00:00:00.0000000Z,2021-04-13T00:00:00.0000000Z,2021-04-12T00:01:00.0000000Z,2021-04-12T23:59:00.0000000Z,60130.201035141894,61174.05774398123,59567.170861089806,59847.941765538555
2021-04-13T00:00:00.0000000Z,2021-04-14T00:00:00.0000000Z,2021-04-13T00:01:00.0000000Z,2021-04-13T23:59:00.0000000Z,59895.71180167992,63732.669183332066,59814.245310400605,63538.03252452784
2021-04-14T00:00:00.0000000Z,2021-04-15T00:00:00.0000000Z,2021-04-14T00:01:00.0000000Z,2021-04-14T23:59:00.0000000Z,63660.00280105868,64855.697445233825,61330.85248564231,63024.381432098264
2021-04-15T00:00:00.0000000Z,2021-04-16T00:00:00.0000000Z,2021-04-15T00:01:00.0000000Z,2021-04-15T23:59:00.0000000Z,63288.1865293421,63750.29492435936,62050.58197055011,63291.65930855813
2021-04-16T00:00:00.0000000Z,2021-04-17T00:00:00.0000000Z,2021-04-16T00:18:00.0000000Z,2021-04-16T23:59:00.0000000Z,63143.70962223377,63577.37682409498,60106.46250781045,61466.36678831468
2021-04-17T00:00:00.0000000Z,2021-04-18T00:00:00.0000000Z,2021-04-17T00:01:00.0000000Z,2021-04-17T23:59:00.0000000Z,61484.39324817727,62551.531445522094,59784.455233290435,60052.557101720624
2021-04-18T00:00:00.0000000Z,2021-04-19T00:00:00.0000000Z,2021-04-18T00:01:00.0000000Z,2021-04-18T23:59:00.0000000Z,60204.93354663338,60428.04504856611,51848.82524372727,56278.50953703499
2021-04-19T00:00:00.0000000Z,2021-04-20T00:00:00.0000000Z,2021-04-19T00:01:00.0000000Z,2021-04-19T23:59:00.0000000Z,56337.534440595955,57606.42834262989,54308.9909427981,55743.95934268565
2021-04-20T00:00:00.0000000Z,2021-04-21T00:00:00.0000000Z,2021-04-20T00:01:00.0000000Z,2021-04-20T23:59:00.0000000Z,55779.98579042218,57097.02212108402,53451.37131596897,56489.86211641134
2021-04-21T00:00:00.0000000Z,2021-04-22T00:00:00.0000000Z,2021-04-21T00:01:00.0000000Z,2021-04-21T23:59:00.0000000Z,56525.76010774529,56789.75906453122,53651.903010674425,53886.690056105
2021-04-22T00:00:00.0000000Z,2021-04-23T00:00:00.0000000Z,2021-04-22T00:01:00.0000000Z,2021-04-22T23:59:00.0000000Z,53938.51868660674,55423.21134877245,50360.46796149079,51733.22800380287
2021-04-23T00:00:00.0000000Z,2021-04-24T00:00:00.0000000Z,2021-04-23T00:23:00.0000000Z,2021-04-23T23:59:00.0000000Z,52116.10261651269,52116.10261651269,47605.17083892298,51143.69236686887
2021-04-24T00:00:00.0000000Z,2021-04-25T00:00:00.0000000Z,2021-04-24T00:01:00.0000000Z,2021-04-24T23:59:00.0000000Z,51177.77,51208.372576842354,48791.66279227928,50071.0146668092
2021-04-25T00:00:00.0000000Z,2021-04-26T00:00:00.0000000Z,2021-04-25T00:01:00.0000000Z,2021-04-25T23:59:00.0000000Z,50166.50095098642,50569.98325846541,47075.63566315232,49014.16449549925
2021-04-26T00:00:00.0000000Z,2021-04-27T00:00:00.0000000Z,2021-04-26T00:01:00.0000000Z,2021-04-26T23:59:00.0000000Z,49272.63635082196,54367.44512947442,48848.26139193124,54057.74757783345
2021-04-27T00:00:00.0000000Z,2021-04-28T00:00:00.0000000Z,2021-04-27T00:01:00.0000000Z,2021-04-27T23:59:00.0000000Z,54037.240000000005,55481.92841172306,53370.850430207254,55080.97395464228
2021-04-28T00:00:00.0000000Z,2021-04-29T00:00:00.0000000Z,2021-04-28T00:01:00.0000000Z,2021-04-28T23:59:00.0000000Z,55120.45065131259,56419.143504900145,53907.28665588619,54856.47761202449
2021-04-29T00:00:00.0000000Z,2021-04-30T00:00:00.0000000Z,2021-04-29T00:01:00.0000000Z,2021-04-29T23:59:00.0000000Z,54963.99966946967,55207.138671807996,52410.00114442427,53576.97601735474
2021-04-30T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-30T00:00:00.0000000Z,2021-04-30T23:59:00.0000000Z,53577.6287038202,58007.10198763888,53109.609485082205,57818.292404472035
2021-05-01T00:00:00.0000000Z,2021-05-02T00:00:00.0000000Z,2021-05-01T00:01:00.0000000Z,2021-05-01T23:59:00.0000000Z,57635.6132837756,58517.25899414445,57083.87863280778,57856.334
2021-05-02T00:00:00.0000000Z,2021-05-03T00:00:00.0000000Z,2021-05-02T00:01:00.0000000Z,2021-05-02T23:59:00.0000000Z,57874.712,57963.403999999995,56143.172,56632.685521528256
2021-05-03T00:00:00.0000000Z,2021-05-04T00:00:00.0000000Z,2021-05-03T00:00:00.0000000Z,2021-05-03T23:59:00.0000000Z,56624.69763054226,58956.77954142128,56607.22888695699,57195.83055336287
2021-05-04T00:00:00.0000000Z,2021-05-05T00:00:00.0000000Z,2021-05-04T00:00:00.0000000Z,2021-05-04T23:59:00.0000000Z,57196.56411450248,57213.311687639,53231.330694793236,53318.749323995835
2021-05-05T00:00:00.0000000Z,2021-05-06T00:00:00.0000000Z,2021-05-05T00:00:00.0000000Z,2021-05-05T23:59:00.0000000Z,53323.47433576378,57915.290479311174,53036.11234277209,57507.43133100237
2021-05-06T00:00:00.0000000Z,2021-05-07T00:00:00.0000000Z,2021-05-06T00:00:00.0000000Z,2021-05-06T23:59:00.0000000Z,57507.43133100237,58341.22061610742,55296.901300785816,56430.83435714839
2021-05-07T00:00:00.0000000Z,2021-05-08T00:00:00.0000000Z,2021-05-07T00:00:00.0000000Z,2021-05-07T23:59:00.0000000Z,56424.99542160206,58666.388062385704,55348.7521946347,57384.39486683994
2021-05-08T00:00:00.0000000Z,2021-05-09T00:00:00.0000000Z,2021-05-08T00:00:00.0000000Z,2021-05-08T23:59:00.0000000Z,57394.64766315317,59507.09920460795,57013.431157975196,58865.85684031747
2021-05-09T00:00:00.0000000Z,2021-05-10T00:00:00.0000000Z,2021-05-09T00:00:00.0000000Z,2021-05-09T23:59:00.0000000Z,58880.45012774623,59212.010256527785,56474.5633807579,58301.2319587728
2021-05-10T00:00:00.0000000Z,2021-05-11T00:00:00.0000000Z,2021-05-10T00:00:00.0000000Z,2021-05-10T23:59:00.0000000Z,58312.14328410873,59575.19503611311,54257.95308778135,55901.47123907841
