,time_period_start,time_period_end,time_open,time_close,rate_open,rate_high,rate_low,rate_close,Year,Month,Day,Hour
0,2016-01-01T00:00:00.0000000Z,2016-01-01T04:00:00.0000000Z,2016-01-01T00:00:00.0000000Z,2016-01-01T00:00:00.0000000Z,0.0007432595966528,0.0007432595966528,0.0007432595966528,0.0007432595966528,2016,1,1,0
1,2016-01-01T04:00:00.0000000Z,2016-01-01T08:00:00.0000000Z,2016-01-01T04:00:00.0000000Z,2016-01-01T04:00:00.0000000Z,0.0007432595966528,0.0007432595966528,0.0007432595966528,0.0007432595966528,2016,1,1,4
2,2016-01-01T08:00:00.0000000Z,2016-01-01T12:00:00.0000000Z,2016-01-01T11:42:00.0000000Z,2016-01-01T11:59:00.0000000Z,0.0001353393345004,0.0001358978938735,9.52603005921442e-05,9.547035822892488e-05,2016,1,1,8
3,2016-01-01T12:00:00.0000000Z,2016-01-01T16:00:00.0000000Z,2016-01-01T12:00:00.0000000Z,2016-01-01T15:59:00.0000000Z,9.547701805485032e-05,0.0001361498266561,8.93892235305185e-05,9.097718050422931e-05,2016,1,1,12
4,2016-01-01T16:00:00.0000000Z,2016-01-01T20:00:00.0000000Z,2016-01-01T16:00:00.0000000Z,2016-01-01T19:59:00.0000000Z,9.096249356097214e-05,0.0001453873712689,9.049828666863811e-05,0.0001358415767158,2016,1,1,16
5,2016-01-01T20:00:00.0000000Z,2016-01-02T00:00:00.0000000Z,2016-01-01T20:00:00.0000000Z,2016-01-01T23:59:00.0000000Z,0.0001358628063104,0.0008650093032768,8.891203903037719e-05,0.0008571264082957,2016,1,1,20
6,2016-01-02T00:00:00.0000000Z,2016-01-02T04:00:00.0000000Z,2016-01-02T00:00:00.0000000Z,2016-01-02T00:00:00.0000000Z,0.0008571264082957,0.0008571264082957,0.0008571264082957,0.0008571264082957,2016,1,2,0
7,2016-01-02T04:00:00.0000000Z,2016-01-02T08:00:00.0000000Z,2016-01-02T04:43:00.0000000Z,2016-01-02T07:58:00.0000000Z,0.0002465307475288,0.0002640889194641,0.000151475540675,0.000151475540675,2016,1,2,4
8,2016-01-02T08:00:00.0000000Z,2016-01-02T12:00:00.0000000Z,2016-01-02T08:00:00.0000000Z,2016-01-02T11:59:00.0000000Z,0.000151475540675,0.0002132543364143,0.000151475540675,0.0001929195852084,2016,1,2,8
9,2016-01-02T12:00:00.0000000Z,2016-01-02T16:00:00.0000000Z,2016-01-02T12:00:00.0000000Z,2016-01-02T15:59:00.0000000Z,0.0001930507944205,0.0001968569621507,0.000160013624245,0.0001604078199152,2016,1,2,12
10,2016-01-02T16:00:00.0000000Z,2016-01-02T20:00:00.0000000Z,2016-01-02T16:00:00.0000000Z,2016-01-02T19:59:00.0000000Z,0.0001604465396295,0.0001933743971655,0.000157946564717,0.0001788198107017,2016,1,2,16
